,ts,task,empid,sec
102,2023-09-27 10:15:46,0,0,0
101,2023-09-27 10:19:27,0,0,217
100,2023-09-27 10:19:28,1,0,0
99,2023-09-27 10:19:43,1,0,14
98,2023-09-27 10:19:58,1,0,15
97,2023-09-27 10:20:16,1,0,17
96,2023-09-27 10:20:31,1,0,15
95,2023-09-27 10:20:48,1,0,16
94,2023-09-27 10:21:01,1,0,13
93,2023-09-27 10:21:14,1,0,12
92,2023-09-27 10:21:30,1,0,16
91,2023-09-27 10:21:43,1,0,12
90,2023-09-27 10:21:55,1,0,12
89,2023-09-27 10:22:06,1,0,11
88,2023-09-27 10:22:18,1,0,12
87,2023-09-27 10:22:30,1,0,11
86,2023-09-27 10:22:42,1,0,12
85,2023-09-27 10:22:53,1,0,11
84,2023-09-27 10:23:05,1,0,11
83,2023-09-27 10:23:17,1,0,12
82,2023-09-27 10:23:29,1,0,12
81,2023-09-27 10:23:41,1,0,12
80,2023-09-27 10:23:54,1,0,12
79,2023-09-27 10:24:06,1,0,11
78,2023-09-27 10:24:17,1,0,12
77,2023-09-27 10:24:30,1,0,12
76,2023-09-27 10:24:43,0,0,0
75,2023-09-27 10:25:11,0,0,26
74,2023-09-27 10:25:12,4,0,0
73,2023-09-27 10:25:54,4,0,41
72,2023-09-27 10:26:07,4,0,12
71,2023-09-27 10:26:51,4,0,43
70,2023-09-27 10:27:32,4,0,40
69,2023-09-27 10:28:15,4,0,42
68,2023-09-27 10:28:56,4,0,40
67,2023-09-27 10:29:39,4,0,42
66,2023-09-27 10:30:23,4,0,43
65,2023-09-27 10:31:04,4,0,40
64,2023-09-27 10:31:05,0,0,0
63,2023-09-27 10:32:18,0,0,21
62,2023-09-27 10:32:18,2,0,13
61,2023-09-27 10:32:18,2,0,11
60,2023-09-27 10:32:33,2,0,12
59,2023-09-27 10:32:45,2,0,12
58,2023-09-27 10:32:58,2,0,13
57,2023-09-27 10:33:10,2,0,11
56,2023-09-27 10:33:22,2,0,12
55,2023-09-27 10:33:35,2,0,13
54,2023-09-27 10:33:47,2,0,11
53,2023-09-27 10:33:59,2,0,12
52,2023-09-27 10:34:11,2,0,12
51,2023-09-27 10:34:23,2,0,11
50,2023-09-27 10:34:37,0,0,0
49,2023-09-27 12:34:24,0,0,5890
48,2023-09-27 12:34:25,1,0,0
47,2023-09-27 12:34:38,1,0,12
46,2023-09-27 12:34:51,1,0,12
45,2023-09-27 12:35:04,1,0,13
44,2023-09-27 12:35:16,1,0,12
43,2023-09-27 12:35:29,1,0,12
42,2023-09-27 12:35:41,1,0,12
41,2023-09-27 12:35:52,1,0,11
40,2023-09-27 12:36:05,1,0,12
39,2023-09-27 12:36:18,1,0,13
38,2023-09-27 12:36:29,1,0,11
37,2023-09-27 12:36:42,1,0,12
36,2023-09-27 12:36:53,1,0,11
35,2023-09-27 12:37:05,1,0,12
34,2023-09-27 12:37:18,1,0,12
33,2023-09-27 12:37:20,0,0,0
32,2023-09-27 12:37:34,0,0,15
31,2023-09-27 12:37:35,4,0,0
30,2023-09-27 12:38:16,4,0,40
29,2023-09-27 12:38:57,4,0,39
28,2023-09-27 12:39:40,4,0,42
27,2023-09-27 12:40:20,4,0,40
26,2023-09-27 12:41:00,4,0,39
25,2023-09-27 12:41:42,4,0,41
24,2023-09-27 12:42:23,4,0,40
23,2023-09-27 12:43:04,4,0,40
22,2023-09-27 12:43:46,4,0,41
21,2023-09-27 12:43:48,0,0,0
20,2023-09-27 12:44:15,0,0,52
19,2023-09-27 12:44:16,2,0,0
18,2023-09-27 12:44:29,0,0,0
17,2023-09-27 12:44:31,0,0,4
16,2023-09-27 12:44:32,2,0,0
15,2023-09-27 12:44:44,2,0,12
14,2023-09-27 12:44:57,2,0,12
13,2023-09-27 12:45:08,2,0,11
12,2023-09-27 12:45:22,2,0,13
11,2023-09-27 12:45:35,2,0,13
10,2023-09-27 12:45:47,2,0,12
9,2023-09-27 12:46:00,2,0,12
8,2023-09-27 12:46:13,2,0,13
7,2023-09-27 12:46:26,2,0,12
6,2023-09-27 12:46:38,2,0,12
5,2023-09-27 12:46:50,2,0,12
4,2023-09-27 12:47:03,2,0,12
3,2023-09-27 12:47:28,2,0,12
2,2023-09-27 12:47:28,2,0,12
1,2023-09-27 12:47:41,2,0,12
0,2023-09-27 12:47:42,0,0,0
