,ts,task,empid,sec
62,2023-08-03 09:24:59,0,0,0
61,2023-08-03 14:48:34,0,0,36088
60,2023-08-03 14:48:34,1,0,0
59,2023-08-03 14:48:34,1,0,0
58,2023-08-03 14:48:34,1,0,0
57,2023-08-03 14:48:35,1,0,1
56,2023-08-03 14:48:35,1,0,0
55,2023-08-03 14:48:36,1,0,1
54,2023-08-03 14:48:37,1,0,0
53,2023-08-03 14:48:37,1,0,0
52,2023-08-03 14:48:37,1,0,0
51,2023-08-03 14:48:37,1,0,1
50,2023-08-03 14:48:37,1,0,0
49,2023-08-03 14:48:37,1,0,0
48,2023-08-03 14:48:38,1,0,0
47,2023-08-03 14:48:38,1,0,0
46,2023-08-03 14:48:38,1,0,0
45,2023-08-03 14:48:38,1,0,1
44,2023-08-03 14:48:38,1,0,0
43,2023-08-03 14:48:39,1,0,0
42,2023-08-03 14:48:39,1,0,0
41,2023-08-03 14:48:39,1,0,1
40,2023-08-03 14:48:40,1,0,0
39,2023-08-03 14:48:40,1,0,0
38,2023-08-03 14:48:40,1,0,1
37,2023-08-03 14:48:41,1,0,0
36,2023-08-03 14:48:41,1,0,0
35,2023-08-03 14:48:41,1,0,1
34,2023-08-03 14:48:42,1,0,0
33,2023-08-03 14:48:42,1,0,0
32,2023-08-03 14:48:44,1,0,3
31,2023-08-03 14:48:45,1,0,0
30,2023-08-03 14:48:46,1,0,1
29,2023-08-03 14:48:46,1,0,1
28,2023-08-03 14:48:47,1,0,0
27,2023-08-03 14:48:48,1,0,1
26,2023-08-03 14:48:49,1,0,1
25,2023-08-03 14:48:49,1,0,1
24,2023-08-03 14:48:54,1,0,4
23,2023-08-03 14:48:55,1,0,1
22,2023-08-03 14:48:56,1,0,1
21,2023-08-03 14:48:57,1,0,1
20,2023-08-03 14:48:58,1,0,1
19,2023-08-03 14:48:59,1,0,1
18,2023-08-03 14:49:00,1,0,1
17,2023-08-03 14:49:01,1,0,1
16,2023-08-03 14:49:02,1,0,1
15,2023-08-03 14:49:05,1,0,3
14,2023-08-03 14:49:08,1,0,3
13,2023-08-03 14:49:11,1,0,3
12,2023-08-03 14:49:15,1,0,4
11,2023-08-03 14:49:16,0,0,0
10,2023-08-03 14:49:19,0,0,4
9,2023-08-03 14:49:19,1,0,0
8,2023-08-03 14:49:24,1,0,4
7,2023-08-03 14:49:27,1,0,3
6,2023-08-03 14:49:32,1,0,5
5,2023-08-03 14:49:36,1,0,4
4,2023-08-03 14:49:40,1,0,4
3,2023-08-03 14:49:44,1,0,4
2,2023-08-03 14:49:49,1,0,5
1,2023-08-03 14:49:53,1,0,3
0,2023-08-03 14:49:55,0,0,0
