ts,task,empid,sec
2023-07-31 11:46:01,4,0,2
2023-07-31 11:46:02,4,0,1
2023-07-31 11:46:04,4,0,1
2023-07-31 11:46:05,4,0,2
2023-07-31 11:46:07,4,0,1
2023-07-31 11:46:07,4,0,1
2023-07-31 11:46:19,0,0,7
2023-07-31 11:47:54,0,0,166
2023-07-31 11:54:42,4,0,396
2023-07-31 11:55:12,4,0,29
2023-07-31 11:55:40,4,0,27
2023-07-31 11:56:10,4,0,29
2023-07-31 11:56:44,4,0,34
2023-07-31 11:57:16,4,0,30
2023-07-31 11:57:43,4,0,27
2023-07-31 11:58:37,4,0,53
2023-07-31 11:59:00,4,0,22
2023-07-31 11:59:29,4,0,28
2023-07-31 11:59:59,4,0,29
2023-07-31 12:00:23,4,0,23
2023-07-31 12:00:49,4,0,26
2023-07-31 12:01:18,4,0,28
2023-07-31 12:01:42,4,0,23
2023-07-31 12:02:07,4,0,25
2023-07-31 12:02:32,4,0,24
2023-07-31 12:03:00,4,0,27
2023-07-31 12:03:25,4,0,24
2023-07-31 12:03:50,4,0,25
2023-07-31 12:04:14,4,0,23
2023-07-31 12:04:38,4,0,23
2023-07-31 12:05:03,4,0,25
2023-07-31 12:05:48,4,0,44
2023-07-31 12:06:16,4,0,27
2023-07-31 12:06:42,4,0,25
2023-07-31 12:07:10,4,0,27
2023-07-31 12:07:32,4,0,22
2023-07-31 12:07:59,4,0,26
2023-07-31 12:08:23,4,0,23
2023-07-31 12:08:45,4,0,21
2023-07-31 12:09:36,4,0,50
2023-07-31 12:10:03,4,0,27
2023-07-31 12:10:34,4,0,30
2023-07-31 12:11:04,4,0,29
2023-07-31 12:11:56,4,0,50
2023-07-31 12:12:26,4,0,30
2023-07-31 12:12:54,4,0,27
2023-07-31 12:13:16,4,0,21
2023-07-31 12:13:40,4,0,24
2023-07-31 12:14:09,4,0,28
2023-07-31 12:14:31,4,0,21
2023-07-31 12:14:58,4,0,26
2023-07-31 12:15:24,4,0,26
2023-07-31 12:15:53,4,0,28
2023-07-31 12:16:17,4,0,23
2023-07-31 12:16:43,4,0,26
2023-07-31 12:17:08,4,0,24
2023-07-31 12:17:52,4,0,43
2023-07-31 12:18:36,4,0,43
2023-07-31 12:19:06,4,0,29
2023-07-31 12:19:32,4,0,26
2023-07-31 12:19:56,4,0,23
2023-07-31 12:20:20,4,0,23
2023-07-31 12:20:43,4,0,23
2023-07-31 12:21:13,4,0,29
2023-07-31 12:21:45,4,0,31
2023-07-31 12:22:11,4,0,26
2023-07-31 12:22:40,4,0,28
2023-07-31 12:23:09,4,0,28
2023-07-31 12:23:33,4,0,24
2023-07-31 12:23:59,4,0,25
2023-07-31 12:24:26,4,0,26
2023-07-31 12:24:49,4,0,22
2023-07-31 12:26:07,4,0,76
2023-07-31 12:27:02,4,0,54
2023-07-31 12:27:29,4,0,27
2023-07-31 12:27:53,4,0,22
2023-07-31 12:28:16,4,0,23
2023-07-31 12:28:42,4,0,26
2023-07-31 12:29:13,4,0,30
2023-07-31 12:29:46,4,0,32
2023-07-31 12:30:12,4,0,25
2023-07-31 12:31:05,4,0,52
2023-07-31 12:31:35,4,0,30
2023-07-31 12:32:15,4,0,38
2023-07-31 12:32:42,4,0,26
2023-07-31 12:33:04,4,0,22
2023-07-31 12:33:47,4,0,42
2023-07-31 12:34:15,4,0,27
2023-07-31 12:34:42,4,0,26
2023-07-31 12:35:10,4,0,27
2023-07-31 12:35:39,4,0,29
2023-07-31 12:36:40,4,0,59
2023-07-31 12:37:06,4,0,26
2023-07-31 12:37:36,4,0,29
2023-07-31 12:38:09,4,0,32
2023-07-31 12:38:34,4,0,24
2023-07-31 12:38:59,4,0,25
2023-07-31 12:49:01,4,0,585
2023-07-31 12:49:24,4,0,23
2023-07-31 12:50:00,4,0,35
2023-07-31 12:50:26,4,0,25
2023-07-31 12:50:50,4,0,23
2023-07-31 12:51:20,4,0,29
2023-07-31 12:51:49,4,0,29
2023-07-31 12:52:16,4,0,26
2023-07-31 12:52:41,4,0,25
2023-07-31 12:53:05,4,0,23
2023-07-31 12:53:27,4,0,22
2023-07-31 12:54:26,4,0,57
2023-07-31 12:54:51,4,0,25
2023-07-31 12:55:16,4,0,24
2023-07-31 12:56:36,4,0,78
2023-07-31 12:57:08,4,0,31
2023-07-31 12:57:46,4,0,37
2023-07-31 12:58:11,4,0,25
2023-07-31 12:58:39,4,0,26
2023-07-31 14:00:11,0,0,3258
2023-07-31 14:00:52,4,0,39
2023-07-31 14:01:28,4,0,35
2023-07-31 14:01:53,4,0,24
2023-07-31 14:02:19,4,0,27
2023-07-31 14:02:50,4,0,29
2023-07-31 14:03:11,4,0,21
2023-07-31 14:03:43,4,0,31
2023-07-31 14:04:07,4,0,23
2023-07-31 14:04:37,4,0,29
2023-07-31 14:05:02,4,0,25
2023-07-31 14:05:40,4,0,37
2023-07-31 14:06:04,4,0,24
2023-07-31 14:06:34,4,0,28
2023-07-31 14:07:05,4,0,31
2023-07-31 14:07:38,4,0,33
2023-07-31 14:08:07,4,0,27
2023-07-31 14:08:34,4,0,27
2023-07-31 14:08:58,4,0,24
2023-07-31 14:09:23,4,0,24
2023-07-31 14:09:53,4,0,29
2023-07-31 14:10:45,4,0,50
2023-07-31 14:11:09,4,0,24
2023-07-31 14:11:34,4,0,24
2023-07-31 14:12:02,4,0,28
2023-07-31 14:12:35,4,0,32
2023-07-31 14:13:03,4,0,27
2023-07-31 14:13:35,4,0,31
2023-07-31 14:14:00,4,0,24
2023-07-31 14:14:27,4,0,27
2023-07-31 14:15:04,4,0,36
2023-07-31 14:15:27,4,0,22
2023-07-31 14:16:07,4,0,39
2023-07-31 14:16:33,4,0,26
2023-07-31 14:16:55,4,0,21
2023-07-31 14:17:23,4,0,27
2023-07-31 14:17:49,4,0,25
2023-07-31 14:18:29,4,0,40
2023-07-31 14:19:01,4,0,31
2023-07-31 14:19:25,4,0,23
2023-07-31 14:19:53,4,0,28
2023-07-31 14:20:15,4,0,21
2023-07-31 14:20:42,4,0,26
2023-07-31 14:21:08,4,0,25
2023-07-31 14:21:39,4,0,30
2023-07-31 14:22:11,4,0,31
2023-07-31 14:22:38,4,0,27
2023-07-31 14:23:11,4,0,32
2023-07-31 14:23:36,4,0,25
2023-07-31 14:23:58,4,0,21
2023-07-31 14:24:28,4,0,29
2023-07-31 14:24:54,4,0,25
2023-07-31 14:25:17,4,0,23
2023-07-31 14:25:40,4,0,22
2023-07-31 14:26:04,4,0,24
2023-07-31 14:26:32,4,0,27
2023-07-31 14:27:00,4,0,28
2023-07-31 14:27:24,4,0,22
2023-07-31 14:27:51,4,0,27
2023-07-31 14:28:26,4,0,34
2023-07-31 14:29:19,4,0,51
2023-07-31 14:29:46,4,0,26
2023-07-31 14:30:10,4,0,25
2023-07-31 14:30:38,4,0,26
2023-07-31 14:31:09,4,0,30
2023-07-31 14:31:38,4,0,29
2023-07-31 14:32:04,4,0,25
2023-07-31 14:32:31,4,0,27
2023-07-31 14:33:01,4,0,29
2023-07-31 14:33:28,4,0,26
2023-07-31 14:33:51,4,0,23
2023-07-31 14:44:52,4,0,644
2023-07-31 14:45:25,4,0,31
2023-07-31 14:46:02,4,0,36
2023-07-31 14:46:27,4,0,24
2023-07-31 14:46:51,4,0,24
2023-07-31 14:47:13,4,0,21
2023-07-31 14:47:34,4,0,21
2023-07-31 14:47:55,4,0,20
2023-07-31 14:48:20,4,0,24
2023-07-31 14:48:42,4,0,22
2023-07-31 14:49:04,4,0,21
2023-07-31 14:49:26,4,0,21
2023-07-31 14:49:56,4,0,29
2023-07-31 14:50:21,4,0,25
2023-07-31 14:50:44,4,0,23
2023-07-31 14:51:08,4,0,22
2023-07-31 14:51:37,4,0,29
2023-07-31 14:52:03,4,0,25
2023-07-31 14:52:26,4,0,23
2023-07-31 14:53:00,4,0,32
2023-07-31 14:53:25,4,0,25
2023-07-31 14:53:55,4,0,29
2023-07-31 14:54:21,4,0,26
2023-07-31 14:54:50,4,0,28
2023-07-31 14:55:14,4,0,23
2023-07-31 14:55:39,4,0,24
2023-07-31 14:56:19,4,0,39
2023-07-31 14:56:49,4,0,29
2023-07-31 14:57:10,4,0,20
2023-07-31 14:57:38,4,0,28
2023-07-31 14:58:04,4,0,25
2023-07-31 14:58:30,4,0,25
2023-07-31 14:58:58,4,0,28
2023-07-31 14:59:25,4,0,26
2023-07-31 14:59:46,4,0,21
2023-07-31 15:00:15,4,0,28
2023-07-31 15:00:43,4,0,27
2023-07-31 15:01:04,4,0,20
2023-07-31 15:01:33,4,0,29
2023-07-31 15:01:59,4,0,25
2023-07-31 15:02:23,4,0,23
2023-07-31 15:03:39,4,0,13
2023-07-31 15:04:10,4,0,30
2023-07-31 15:04:39,4,0,28
2023-07-31 15:05:04,4,0,24
2023-07-31 15:05:34,4,0,30
2023-07-31 15:06:03,4,0,28
2023-07-31 15:06:34,4,0,30
2023-07-31 15:07:11,4,0,36
2023-07-31 15:07:36,4,0,25
2023-07-31 15:08:04,4,0,28
2023-07-31 15:08:29,4,0,24
2023-07-31 15:08:55,4,0,25
2023-07-31 15:09:23,4,0,27
2023-07-31 15:09:46,4,0,22
2023-07-31 15:10:13,4,0,27
2023-07-31 15:10:33,4,0,20
2023-07-31 15:11:09,4,0,35
2023-07-31 15:11:34,4,0,24
2023-07-31 15:12:00,4,0,26
2023-07-31 15:12:28,4,0,27
2023-07-31 15:12:57,4,0,28
2023-07-31 15:13:23,4,0,26
2023-07-31 15:13:47,4,0,23
2023-07-31 15:14:13,4,0,25
2023-07-31 15:14:38,4,0,24
2023-07-31 15:15:00,4,0,22
2023-07-31 15:15:25,4,0,25
2023-07-31 15:15:49,4,0,23
2023-07-31 15:16:18,4,0,28
2023-07-31 15:16:52,4,0,33
2023-07-31 15:17:21,4,0,28
2023-07-31 15:17:47,4,0,26
2023-07-31 15:18:09,4,0,21
2023-07-31 15:18:30,4,0,20
2023-07-31 15:18:59,4,0,28
2023-07-31 15:19:32,4,0,33
2023-07-31 15:20:16,4,0,43
2023-07-31 15:20:48,4,0,30
2023-07-31 15:21:12,4,0,24
2023-07-31 15:21:34,4,0,22
2023-07-31 15:22:04,4,0,29
2023-07-31 15:22:28,4,0,22
2023-07-31 15:22:50,4,0,22
2023-07-31 15:23:12,4,0,22
2023-07-31 15:23:32,4,0,19
2023-07-31 15:23:58,4,0,25
2023-07-31 15:24:25,4,0,27
2023-07-31 15:24:48,4,0,22
2023-07-31 15:25:47,4,0,57
2023-07-31 15:31:04,0,0,281
2023-07-31 15:31:41,4,0,36
2023-07-31 15:32:19,4,0,37
2023-07-31 15:32:49,4,0,29
2023-07-31 15:33:13,4,0,24
2023-07-31 15:33:42,4,0,28
2023-07-31 15:34:10,4,0,27
2023-07-31 15:44:49,4,0,623
2023-07-31 15:45:16,4,0,26
2023-07-31 15:45:45,4,0,28
2023-07-31 15:46:15,4,0,31
2023-07-31 15:46:36,4,0,20
2023-07-31 15:47:00,4,0,23
2023-07-31 15:47:32,4,0,31
2023-07-31 15:48:03,4,0,30
2023-07-31 15:48:27,4,0,24
2023-07-31 15:48:49,4,0,22
2023-07-31 15:49:16,4,0,25
2023-07-31 15:49:41,4,0,25
2023-07-31 15:50:07,4,0,25
2023-07-31 15:50:36,4,0,29
2023-07-31 15:51:00,4,0,23
2023-07-31 15:51:27,4,0,26
2023-07-31 15:51:51,4,0,23
2023-07-31 15:52:20,4,0,29
2023-07-31 15:52:47,4,0,26
2023-07-31 15:53:12,4,0,24
2023-07-31 15:53:36,4,0,24
2023-07-31 15:54:05,4,0,28
2023-07-31 15:54:54,4,0,48
2023-07-31 15:55:18,4,0,22
2023-07-31 15:55:54,4,0,36
2023-07-31 15:56:19,4,0,24
2023-07-31 15:56:48,4,0,28
2023-07-31 15:57:59,4,0,69
2023-07-31 15:58:28,4,0,29
2023-07-31 15:59:01,4,0,32
2023-07-31 15:59:37,4,0,35
2023-07-31 16:00:00,4,0,23
2023-07-31 16:00:26,4,0,25
2023-07-31 16:01:01,4,0,34
2023-07-31 16:01:26,4,0,25
2023-07-31 16:01:55,4,0,28
2023-07-31 16:02:20,4,0,24
2023-07-31 16:02:47,4,0,27
2023-07-31 16:03:13,4,0,25
2023-07-31 16:03:37,4,0,22
2023-07-31 16:04:01,4,0,24
2023-07-31 16:04:39,4,0,37
2023-07-31 16:05:15,4,0,36
2023-07-31 16:05:47,4,0,30
2023-07-31 16:06:14,4,0,27
2023-07-31 16:06:41,4,0,26
2023-07-31 16:07:05,4,0,24
2023-07-31 16:07:28,4,0,21
2023-07-31 16:07:53,4,0,25
2023-07-31 16:08:34,4,0,40
2023-07-31 16:09:06,4,0,31
2023-07-31 16:09:32,4,0,26
2023-07-31 16:09:57,4,0,23
2023-07-31 16:10:24,4,0,27
2023-07-31 16:10:47,4,0,23
2023-07-31 16:11:10,4,0,22
2023-07-31 16:11:40,4,0,28
2023-07-31 16:12:05,4,0,25
2023-07-31 16:12:40,4,0,34
2023-07-31 16:13:06,4,0,26
2023-07-31 16:13:41,4,0,33
2023-07-31 16:14:05,4,0,24
2023-07-31 16:14:35,4,0,29
2023-07-31 16:14:56,4,0,21
2023-07-31 16:15:38,4,0,41
2023-07-31 16:16:02,4,0,22
2023-07-31 16:16:22,4,0,20
2023-07-31 16:16:46,4,0,24
2023-07-31 16:17:23,4,0,35
2023-07-31 16:17:49,4,0,26
2023-07-31 16:18:22,4,0,32
2023-07-31 16:18:50,4,0,27
2023-07-31 16:19:28,4,0,37
2023-07-31 16:19:57,4,0,28
