,ts,task,empid,sec
149,2023-08-01 09:00:44,0,0,48353
148,2023-08-01 09:00:44,4,0,0
147,2023-08-01 09:03:22,4,0,153
146,2023-08-01 09:03:55,4,0,32
145,2023-08-01 09:04:22,4,0,27
144,2023-08-01 09:04:49,4,0,26
143,2023-08-01 09:05:12,4,0,23
142,2023-08-01 09:05:39,4,0,25
141,2023-08-01 09:06:02,4,0,23
140,2023-08-01 09:06:27,4,0,24
139,2023-08-01 09:06:56,4,0,29
138,2023-08-01 09:07:21,4,0,24
137,2023-08-01 09:07:49,4,0,27
136,2023-08-01 09:08:15,4,0,25
135,2023-08-01 09:08:38,4,0,23
134,2023-08-01 09:09:04,4,0,25
133,2023-08-01 09:09:51,4,0,46
132,2023-08-01 09:10:21,4,0,29
131,2023-08-01 09:10:54,4,0,32
130,2023-08-01 09:11:17,4,0,23
129,2023-08-01 09:11:43,4,0,25
128,2023-08-01 09:12:09,4,0,25
127,2023-08-01 09:12:30,4,0,21
126,2023-08-01 09:12:52,4,0,22
125,2023-08-01 09:13:20,4,0,26
124,2023-08-01 09:13:48,4,0,28
123,2023-08-01 09:14:10,4,0,22
122,2023-08-01 09:14:33,4,0,22
121,2023-08-01 09:15:02,4,0,28
120,2023-08-01 09:15:25,4,0,22
119,2023-08-01 09:15:52,4,0,27
118,2023-08-01 09:16:18,4,0,25
117,2023-08-01 09:16:55,4,0,36
116,2023-08-01 09:17:21,4,0,25
115,2023-08-01 09:17:46,4,0,24
114,2023-08-01 09:18:10,4,0,23
113,2023-08-01 09:18:33,4,0,23
112,2023-08-01 09:19:08,4,0,34
111,2023-08-01 09:19:36,4,0,27
110,2023-08-01 09:20:07,4,0,30
109,2023-08-01 09:20:33,4,0,26
108,2023-08-01 09:21:04,4,0,30
107,2023-08-01 09:21:31,4,0,26
106,2023-08-01 09:21:56,4,0,24
105,2023-08-01 09:22:27,4,0,30
104,2023-08-01 09:22:52,4,0,24
103,2023-08-01 09:23:23,4,0,31
102,2023-08-01 09:23:51,4,0,27
101,2023-08-01 09:24:51,4,0,59
100,2023-08-01 09:25:20,4,0,28
99,2023-08-01 09:25:51,4,0,30
98,2023-08-01 09:26:39,4,0,47
97,2023-08-01 09:27:16,4,0,36
96,2023-08-01 09:28:06,0,0,0
95,2023-08-01 09:33:34,0,0,292
94,2023-08-01 09:33:59,4,0,23
93,2023-08-01 09:34:26,4,0,27
92,2023-08-01 09:34:47,4,0,20
91,2023-08-01 09:35:11,4,0,24
90,2023-08-01 09:35:42,4,0,29
89,2023-08-01 09:36:07,4,0,25
88,2023-08-01 09:36:33,4,0,26
87,2023-08-01 09:36:59,4,0,25
86,2023-08-01 09:37:22,4,0,22
85,2023-08-01 09:37:44,4,0,22
84,2023-08-01 09:38:09,4,0,24
83,2023-08-01 09:38:37,4,0,27
82,2023-08-01 09:38:56,4,0,19
81,2023-08-01 09:39:19,4,0,22
80,2023-08-01 09:39:50,4,0,31
79,2023-08-01 09:40:20,4,0,29
78,2023-08-01 09:40:45,4,0,24
77,2023-08-01 09:41:16,4,0,31
76,2023-08-01 09:41:59,4,0,42
75,2023-08-01 09:42:25,4,0,25
74,2023-08-01 09:42:57,4,0,31
73,2023-08-01 09:43:22,4,0,24
72,2023-08-01 09:43:45,4,0,23
71,2023-08-01 09:44:13,4,0,27
70,2023-08-01 09:44:36,4,0,23
69,2023-08-01 09:45:08,4,0,30
68,2023-08-01 09:45:29,4,0,21
67,2023-08-01 09:45:56,4,0,26
66,2023-08-01 09:46:19,4,0,23
65,2023-08-01 09:46:42,4,0,23
64,2023-08-01 09:47:09,4,0,26
63,2023-08-01 09:47:32,4,0,22
62,2023-08-01 09:47:57,4,0,25
61,2023-08-01 09:48:23,4,0,25
60,2023-08-01 09:48:50,4,0,26
59,2023-08-01 09:49:18,4,0,27
58,2023-08-01 09:49:48,4,0,29
57,2023-08-01 09:50:13,4,0,24
56,2023-08-01 09:50:38,4,0,25
55,2023-08-01 09:51:00,4,0,21
54,2023-08-01 09:51:37,4,0,37
53,2023-08-01 09:52:11,0,0,0
52,2023-08-01 15:45:03,0,0,0
51,2023-08-01 15:51:46,3,0,118
50,2023-08-01 15:53:41,3,0,112
49,2023-08-01 16:03:00,3,0,99
48,2023-08-01 16:04:48,3,0,106
47,2023-08-01 16:06:35,3,0,104
46,2023-08-01 16:08:32,3,0,114
45,2023-08-01 16:10:26,3,0,110
44,2023-08-01 16:12:37,3,0,129
43,2023-08-01 16:14:33,3,0,113
42,2023-08-01 16:16:29,3,0,113
41,2023-08-01 16:18:15,3,0,103
40,2023-08-01 16:20:06,3,0,108
39,2023-08-01 16:22:21,3,0,132
38,2023-08-01 16:24:28,3,0,124
37,2023-08-01 16:26:13,3,0,102
36,2023-08-01 16:27:52,3,0,97
35,2023-08-01 16:29:40,3,0,104
34,2023-08-01 16:29:48,0,0,0
33,2023-08-01 16:50:09,0,0,1085
32,2023-08-01 16:50:09,3,0,0
31,2023-08-01 16:50:14,0,0,0
30,2023-08-01 16:50:42,0,0,25
29,2023-08-01 16:50:42,3,0,0
28,2023-08-01 16:52:43,3,0,117
27,2023-08-01 16:54:59,3,0,134
26,2023-08-01 16:57:16,3,0,133
25,2023-08-01 17:00:02,3,0,162
24,2023-08-01 17:02:09,3,0,125
23,2023-08-01 17:03:46,3,0,94
22,2023-08-01 17:05:34,3,0,105
21,2023-08-01 17:07:24,3,0,107
20,2023-08-01 17:09:17,3,0,110
19,2023-08-01 17:11:02,3,0,102
18,2023-08-01 17:12:53,3,0,108
17,2023-08-01 17:14:47,3,0,111
16,2023-08-01 17:16:40,3,0,111
15,2023-08-01 17:18:40,3,0,116
14,2023-08-01 17:20:29,3,0,106
13,2023-08-01 17:22:23,3,0,112
12,2023-08-01 17:24:13,3,0,108
11,2023-08-01 17:26:12,3,0,115
10,2023-08-01 17:28:51,3,0,155
9,2023-08-01 17:31:30,3,0,155
8,2023-08-01 17:33:32,3,0,118
7,2023-08-01 17:35:26,3,0,112
6,2023-08-01 17:37:51,3,0,141
5,2023-08-01 17:39:50,3,0,117
4,2023-08-01 17:42:07,3,0,131
3,2023-08-01 17:44:57,3,0,166
2,2023-08-01 17:46:59,3,0,119
1,2023-08-01 17:48:54,3,0,112
0,2023-08-01 17:56:54,0,0,0
