,ts,task,empid,sec
491,2023-09-07 09:00:17,5,0,22
490,2023-09-07 09:00:40,5,0,21
489,2023-09-07 09:01:06,5,0,26
488,2023-09-07 09:01:32,5,0,25
487,2023-09-07 09:02:00,5,0,28
486,2023-09-07 09:02:26,5,0,25
485,2023-09-07 09:02:53,5,0,27
484,2023-09-07 09:03:16,5,0,22
483,2023-09-07 09:03:40,5,0,23
482,2023-09-07 09:04:05,5,0,24
481,2023-09-07 09:04:29,5,0,24
480,2023-09-07 09:04:55,5,0,25
479,2023-09-07 09:05:18,5,0,23
478,2023-09-07 09:05:39,5,0,21
477,2023-09-07 09:06:06,5,0,26
476,2023-09-07 09:06:33,5,0,26
475,2023-09-07 09:06:59,5,0,26
474,2023-09-07 09:07:24,5,0,24
473,2023-09-07 09:07:53,5,0,28
472,2023-09-07 09:08:21,5,0,28
471,2023-09-07 09:08:58,5,0,35
470,2023-09-07 09:09:23,5,0,25
469,2023-09-07 09:13:55,5,0,267
468,2023-09-07 09:14:17,5,0,21
467,2023-09-07 09:15:07,5,0,23
466,2023-09-07 09:15:27,5,0,20
465,2023-09-07 09:15:50,5,0,23
464,2023-09-07 09:16:14,5,0,23
463,2023-09-07 09:16:38,5,0,24
462,2023-09-07 09:17:01,5,0,22
461,2023-09-07 09:17:46,5,0,44
460,2023-09-07 09:18:16,5,0,29
459,2023-09-07 09:18:40,5,0,23
458,2023-09-07 09:19:02,5,0,21
457,2023-09-07 09:19:26,5,0,24
456,2023-09-07 09:19:55,5,0,28
455,2023-09-07 09:20:21,5,0,26
454,2023-09-07 09:20:46,5,0,24
453,2023-09-07 09:21:09,5,0,23
452,2023-09-07 09:21:32,5,0,22
451,2023-09-07 09:21:56,5,0,24
450,2023-09-07 09:22:47,5,0,49
449,2023-09-07 09:23:07,5,0,21
448,2023-09-07 09:23:35,5,0,27
447,2023-09-07 09:23:59,5,0,24
446,2023-09-07 09:24:49,5,0,48
445,2023-09-07 09:26:00,5,0,70
444,2023-09-07 09:26:26,5,0,26
443,2023-09-07 09:26:51,5,0,24
442,2023-09-07 09:27:14,5,0,22
441,2023-09-07 09:27:40,5,0,25
440,2023-09-07 09:30:18,5,0,27
439,2023-09-07 09:30:31,5,0,14
438,2023-09-07 09:30:58,5,0,25
437,2023-09-07 09:31:23,5,0,24
436,2023-09-07 09:33:19,5,0,14
435,2023-09-07 09:33:46,5,0,27
434,2023-09-07 09:34:12,5,0,25
433,2023-09-07 09:34:37,5,0,25
432,2023-09-07 09:35:12,5,0,33
431,2023-09-07 09:35:27,5,0,15
430,2023-09-07 09:35:51,5,0,24
429,2023-09-07 09:36:17,5,0,25
428,2023-09-07 09:36:43,5,0,26
427,2023-09-07 09:37:09,5,0,25
426,2023-09-07 09:37:34,5,0,24
425,2023-09-07 09:38:58,5,0,83
424,2023-09-07 09:39:32,5,0,33
423,2023-09-07 09:39:53,5,0,21
422,2023-09-07 09:40:23,5,0,28
421,2023-09-07 09:40:48,5,0,25
420,2023-09-07 09:41:11,5,0,23
419,2023-09-07 09:41:34,5,0,22
418,2023-09-07 09:42:04,5,0,29
417,2023-09-07 09:42:25,5,0,21
416,2023-09-07 09:42:51,5,0,23
415,2023-09-07 09:43:15,5,0,25
414,2023-09-07 09:43:38,5,0,22
413,2023-09-07 09:44:02,5,0,23
412,2023-09-07 09:44:25,5,0,23
411,2023-09-07 09:45:15,5,0,49
410,2023-09-07 09:45:38,5,0,22
409,2023-09-07 09:46:03,5,0,25
408,2023-09-07 09:48:55,5,0,168
407,2023-09-07 09:49:19,5,0,24
406,2023-09-07 09:49:44,5,0,25
405,2023-09-07 09:50:10,5,0,25
404,2023-09-07 09:50:35,5,0,24
403,2023-09-07 09:51:01,5,0,26
402,2023-09-07 09:51:25,5,0,23
401,2023-09-07 09:52:17,5,0,50
400,2023-09-07 09:52:43,5,0,26
399,2023-09-07 09:53:07,5,0,24
398,2023-09-07 09:53:57,5,0,49
397,2023-09-07 09:54:22,5,0,23
396,2023-09-07 09:54:47,5,0,25
395,2023-09-07 09:55:35,5,0,46
394,2023-09-07 09:55:58,5,0,24
393,2023-09-07 09:56:23,5,0,24
392,2023-09-07 09:56:47,5,0,24
391,2023-09-07 09:57:13,5,0,24
390,2023-09-07 09:57:36,5,0,23
389,2023-09-07 09:58:01,5,0,25
388,2023-09-07 09:58:26,5,0,24
387,2023-09-07 09:58:50,5,0,23
386,2023-09-07 09:59:13,5,0,23
385,2023-09-07 09:59:39,5,0,25
384,2023-09-07 10:00:02,5,0,23
383,2023-09-07 10:00:31,5,0,28
382,2023-09-07 10:00:58,5,0,27
381,2023-09-07 10:01:48,5,0,48
380,2023-09-07 10:02:14,5,0,26
379,2023-09-07 10:02:41,5,0,25
378,2023-09-07 10:03:06,5,0,25
377,2023-09-07 10:03:31,5,0,25
376,2023-09-07 10:04:20,5,0,47
375,2023-09-07 10:04:56,5,0,36
374,2023-09-07 10:05:24,5,0,27
373,2023-09-07 10:05:52,5,0,27
372,2023-09-07 10:06:21,5,0,24
371,2023-09-07 10:06:42,5,0,21
370,2023-09-07 10:07:18,5,0,36
369,2023-09-07 10:07:44,5,0,25
368,2023-09-07 10:08:06,5,0,21
367,2023-09-07 10:08:29,5,0,22
366,2023-09-07 10:08:52,5,0,23
365,2023-09-07 10:09:18,5,0,25
364,2023-09-07 10:09:49,5,0,30
363,2023-09-07 10:10:20,5,0,30
362,2023-09-07 10:10:51,5,0,31
361,2023-09-07 10:11:21,5,0,29
360,2023-09-07 10:11:45,5,0,23
359,2023-09-07 10:12:07,5,0,22
358,2023-09-07 10:12:33,5,0,25
357,2023-09-07 10:12:56,5,0,22
356,2023-09-07 10:13:20,5,0,24
355,2023-09-07 10:13:44,5,0,23
354,2023-09-07 10:14:09,5,0,24
353,2023-09-07 10:14:37,5,0,28
352,2023-09-07 10:15:04,5,0,26
351,2023-09-07 10:15:30,5,0,25
350,2023-09-07 10:16:14,5,0,44
