ts,task,empid,sec
2023-09-06 10:14:28,5,0,25
2023-09-06 10:14:59,5,0,28
2023-09-06 10:15:21,5,0,24
2023-09-06 10:15:48,5,0,26
2023-09-06 10:16:12,5,0,24
2023-09-06 10:16:39,5,0,26
2023-09-06 10:17:05,5,0,25
2023-09-06 10:17:28,5,0,23
2023-09-06 10:17:52,5,0,23
2023-09-06 10:18:16,5,0,22
2023-09-06 10:19:04,5,0,48
2023-09-06 10:19:27,5,0,23
2023-09-06 10:19:50,5,0,22
2023-09-06 10:20:35,5,0,44
2023-09-06 10:20:59,5,0,23
2023-09-06 10:22:43,5,0,21
2023-09-06 10:23:05,5,0,23
2023-09-06 10:26:37,5,0,208
2023-09-06 10:27:00,5,0,22
2023-09-06 10:27:25,5,0,25
2023-09-06 10:27:48,5,0,23
2023-09-06 10:28:10,5,0,20
2023-09-06 10:29:10,5,0,22
2023-09-06 10:29:12,5,0,39
2023-09-06 10:29:33,5,0,21
2023-09-06 10:29:53,5,0,20
2023-09-06 10:30:16,5,0,22
2023-09-06 11:31:39,0,0,34
2023-09-06 11:32:54,5,0,71
2023-09-06 11:33:21,5,0,27
2023-09-06 11:33:52,5,0,30
2023-09-06 11:34:20,5,0,27
2023-09-06 11:34:48,5,0,27
2023-09-06 11:35:22,5,0,34
2023-09-06 11:35:54,5,0,31
2023-09-06 11:36:22,5,0,27
2023-09-06 11:37:51,5,0,87
2023-09-06 11:38:24,5,0,33
2023-09-06 11:38:52,5,0,26
2023-09-06 11:39:19,5,0,26
2023-09-06 11:39:44,5,0,26
2023-09-06 11:40:11,5,0,25
2023-09-06 11:40:43,5,0,32
2023-09-06 11:41:08,5,0,24
2023-09-06 11:41:33,5,0,24
2023-09-06 11:41:57,5,0,23
2023-09-06 11:42:19,5,0,22
2023-09-06 11:42:43,5,0,24
2023-09-06 11:43:05,5,0,21
2023-09-06 11:43:29,5,0,23
2023-09-06 11:43:52,5,0,23
2023-09-06 11:44:23,5,0,31
2023-09-06 11:44:45,5,0,21
2023-09-06 11:45:08,5,0,23
2023-09-06 11:45:32,5,0,23
2023-09-06 11:45:56,5,0,22
2023-09-06 11:46:17,5,0,22
2023-09-06 11:46:38,5,0,20
2023-09-06 11:47:13,5,0,24
2023-09-06 11:47:49,5,0,46
2023-09-06 11:48:17,5,0,23
2023-09-06 11:48:35,5,0,22
2023-09-06 11:49:19,5,0,43
2023-09-06 11:49:52,5,0,24
2023-09-06 11:50:08,5,0,23
2023-09-06 11:50:30,5,0,22
2023-09-06 11:50:54,5,0,23
2023-09-06 11:51:17,5,0,23
2023-09-06 11:51:41,5,0,24
2023-09-06 11:52:04,5,0,22
2023-09-06 11:53:38,5,0,91
2023-09-06 11:54:00,5,0,22
2023-09-06 11:54:22,5,0,21
2023-09-06 11:54:44,5,0,22
2023-09-06 11:55:05,5,0,20
2023-09-06 11:55:45,5,0,39
2023-09-06 11:56:08,5,0,23
2023-09-06 11:56:31,5,0,22
2023-09-06 11:56:54,5,0,22
2023-09-06 11:57:15,5,0,21
2023-09-06 11:57:35,5,0,20
2023-09-06 11:57:55,5,0,19
2023-09-06 11:58:17,5,0,22
2023-09-06 11:58:38,5,0,20
2023-09-06 11:58:57,5,0,19
2023-09-06 11:59:21,5,0,23
2023-09-06 11:59:43,5,0,22
2023-09-06 13:03:34,0,0,3579
2023-09-06 13:03:37,0,0,3
2023-09-06 13:04:03,5,0,25
2023-09-06 13:04:31,5,0,27
2023-09-06 13:04:54,5,0,22
2023-09-06 13:05:21,5,0,26
2023-09-06 13:05:47,5,0,26
2023-09-06 13:06:38,5,0,49
2023-09-06 13:07:29,5,0,50
2023-09-06 13:08:14,5,0,44
2023-09-06 13:08:44,5,0,29
2023-09-06 13:09:09,5,0,25
2023-09-06 13:09:29,5,0,20
2023-09-06 13:09:49,5,0,19
2023-09-06 13:10:21,5,0,31
2023-09-06 13:10:41,5,0,19
2023-09-06 13:11:00,5,0,19
2023-09-06 13:11:24,5,0,23
2023-09-06 13:12:00,5,0,35
2023-09-06 13:12:22,5,0,22
2023-09-06 13:12:42,5,0,19
2023-09-06 13:13:04,5,0,21
2023-09-06 13:14:11,5,0,66
2023-09-06 13:14:34,5,0,23
2023-09-06 13:14:55,5,0,20
2023-09-06 13:15:15,5,0,20
2023-09-06 13:15:40,5,0,22
2023-09-06 13:16:25,5,0,46
2023-09-06 13:16:50,5,0,25
2023-09-06 13:17:10,5,0,19
2023-09-06 13:17:31,5,0,20
2023-09-06 13:17:52,5,0,21
2023-09-06 13:18:13,5,0,20
2023-09-06 13:18:35,5,0,22
2023-09-06 13:18:58,5,0,22
2023-09-06 13:19:19,5,0,21
2023-09-06 13:19:40,5,0,20
2023-09-06 13:20:03,5,0,23
2023-09-06 13:20:27,5,0,24
2023-09-06 13:20:49,5,0,21
2023-09-06 13:21:10,5,0,20
2023-09-06 13:21:33,5,0,22
2023-09-06 13:21:56,5,0,24
2023-09-06 13:22:19,5,0,22
2023-09-06 13:22:42,5,0,22
2023-09-06 13:23:05,5,0,23
2023-09-06 13:24:31,5,0,84
2023-09-06 13:24:55,5,0,24
